,domain,phylum,class,order,family,genus,species
OTU_32,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_35,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_murdochii
OTU_56,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
OTU_1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_25,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_jensenii
OTU_4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_jensenii
OTU_15,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_37,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_ureolyticus
OTU_81,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Helcococcus,unclassified
OTU_33,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_timonensis
OTU_39,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_anginosus_subsp._whileyi
OTU_109,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Helcococcus,Helcococcus_sueciensis
OTU_44,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified
OTU_88,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,unclassified
OTU_118,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus_urinae
OTU_86,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus_sanguinicola
OTU_69,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_vaginalis
OTU_192,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_urealyticum
OTU_92,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_duerdenii
OTU_323,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium,unclassified
OTU_629,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_58,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified
OTU_136,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_somerae
OTU_87,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Facklamia_ignava
OTU_50,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus
OTU_686,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_vaginalis
OTU_71,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,unclassified_Clostridiales,unclassified
OTU_17,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bivia
OTU_142,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_agalactiae
